Run	Assay Type	BioSample	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	Bytes	AvgSpotLen	Bases	BioProject	create_date	version	Library Name	Collection_Date	geo_loc_name_country	geo_loc_name_country_continent	Isolation_source	BioSampleModel	geo_loc_name	Year	Month	Date	isolation_source_categ	collection	species_identified
SRR14831700	WGS	SAMN19729485	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	run.zq,sra	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	SRX11160012	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2021LN-00004	SRP074197	313762187.0	485.0	1190098232.0	PRJNA288601	2023-05-20T02:42:00Z	2.0	2021LN-00004	2021-01-01	USA	North America	urine	Microbe\, viral or environmental	USA	2021.0		2021-01-01	human	SRA	paeruginosa
SRR14831701	WGS	SAMN19729484	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	run.zq,sra	gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public	SRX11160011	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2021LN-00002	SRP074197	321006005.0	485.0	1218056724.0	PRJNA288601	2023-05-20T02:42:00Z	2.0	2021LN-00002	2020-12-29	USA	North America	Tissue -Foot	Microbe\, viral or environmental	USA	2020.0		2020-12-29	evironmental	SRA	paeruginosa
SRR14831702	WGS	SAMN19729483	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	run.zq,sra	s3,gs,ncbi	ncbi.public,gs.US,s3.us-east-1	SRX11160010	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2021LN-00001	SRP074197	339955584.0	482.0	1290169267.0	PRJNA288601	2023-05-20T02:41:00Z	2.0	2021LN-00001	2020-12-10	USA	North America	Tissue - Abdomen	Microbe\, viral or environmental	USA	2020.0		2020-12-10	evironmental	SRA	paeruginosa
SRR14831703	WGS	SAMN19729482	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	sra,run.zq	gs,s3,ncbi	gs.US,ncbi.public,s3.us-east-1	SRX11160009	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2020LN-00089	SRP074197	336905259.0	485.0	1280463493.0	PRJNA288601	2023-05-20T02:43:00Z	2.0	2020LN-00089	2020-11-20	USA	North America	sputum	Microbe\, viral or environmental	USA	2020.0		2020-11-20	human	SRA	paeruginosa
SRR14831704	WGS	SAMN19729481	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	sra,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	SRX11160008	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2020LN-00081	SRP074197	359209420.0	484.0	1366318723.0	PRJNA288601	2023-05-20T02:42:00Z	2.0	2020LN-00081	2020-10-25	USA	North America	Tissue - Leg	Microbe\, viral or environmental	USA	2020.0		2020-10-25	evironmental	SRA	paeruginosa
SRR14831705	WGS	SAMN19729480	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	sra,run.zq	gs,s3,ncbi	gs.US,ncbi.public,s3.us-east-1	SRX11160007	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2020LN-00077	SRP074197	260969294.0	485.0	992045278.0	PRJNA288601	2023-05-20T02:41:00Z	2.0	2020LN-00077	2020-10-13	USA	North America	urine	Microbe\, viral or environmental	USA	2020.0		2020-10-13	human	SRA	paeruginosa
SRR14831706	WGS	SAMN19729479	ARIZONA STATE PUBLIC HEALTH LABORATORY	public	sra,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	SRX11160006	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa	ILLUMINA	2021-06-16T00:00:00Z	2020LN-00073	SRP074197	297227404.0	485.0	1130132685.0	PRJNA288601	2023-05-20T02:42:00Z	2.0	2020LN-00073	2020-10-05	USA	North America	bone	Microbe\, viral or environmental	USA	2020.0		2020-10-05	evironmental	SRA	paeruginosa
SRR11793753	WGS	SAMN14929130	UNIVERSITY OF PITTSBURGH	public	run.zq,sra,fastq	ncbi,gs,s3	gs.US,s3.us-east-1,ncbi.public	SRX8345772	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_1017_4	SRP237703	232490097.0	302.0	537279442.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 10, Pop 2, Bio, Inc, Clone4	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793754	WGS	SAMN14929129	UNIVERSITY OF PITTSBURGH	public	run.zq,sra,fastq	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	SRX8345771	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_1017_3	SRP237703	47850529.0	302.0	97547208.0	PRJNA595915	2020-05-14T21:36:00Z	1.0	Day 10, Pop 2, Bio, Inc, Clone3	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793755	WGS	SAMN14929128	UNIVERSITY OF PITTSBURGH	public	run.zq,sra,fastq	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	SRX8345770	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_1017_2	SRP237703	116745411.0	302.0	238191930.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 10, Pop 2, Bio, Inc, Clone2	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793756	WGS	SAMN14929127	UNIVERSITY OF PITTSBURGH	public	fastq,sra,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	SRX8345769	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_1017_1	SRP237703	112236970.0	302.0	228074930.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 10, Pop 2, Bio, Inc, Clone1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793758	WGS	SAMN14929168	UNIVERSITY OF PITTSBURGH	public	sra,run.zq,fastq	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	SRX8345767	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_987_6	SRP237703	166779183.0	268.0	361520621.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 9, Pop 2, Plank, Inc, Clone6	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793759	WGS	SAMN14929167	UNIVERSITY OF PITTSBURGH	public	fastq,run.zq,sra	ncbi,s3,gs	gs.US,ncbi.public,s3.us-east-1	SRX8345766	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_987_5	SRP237703	132855638.0	271.0	286231792.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 9, Pop 2, Plank, Inc, Clone5	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793760	WGS	SAMN14929166	UNIVERSITY OF PITTSBURGH	public	sra,run.zq,fastq	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	SRX8345765	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_987_4	SRP237703	141851237.0	270.0	307250527.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 9, Pop 2, Plank, Inc, Clone4	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793761	WGS	SAMN14929165	UNIVERSITY OF PITTSBURGH	public	run.zq,sra,fastq	ncbi,gs,s3	s3.us-east-1,gs.US,ncbi.public	SRX8345764	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_987_3	SRP237703	53669636.0	272.0	115936857.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 9, Pop 2, Plank, Inc, Clone3	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793762	WGS	SAMN14929164	UNIVERSITY OF PITTSBURGH	public	sra,run.zq,fastq	gs,s3,ncbi	ncbi.public,s3.us-east-1,gs.US	SRX8345763	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_987_2	SRP237703	98132701.0	271.0	212904678.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 9, Pop 2, Plank, Inc, Clone2	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793763	WGS	SAMN14929163	UNIVERSITY OF PITTSBURGH	public	fastq,run.zq,sra	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	SRX8345762	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_987_1	SRP237703	98063701.0	273.0	211228055.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 9, Pop 2, Plank, Inc, Clone1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793764	WGS	SAMN14929162	UNIVERSITY OF PITTSBURGH	public	run.zq,fastq,sra	gs,s3,ncbi	gs.US,ncbi.public,s3.us-east-1	SRX8345761	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_968_2	SRP237703	119609958.0	271.0	257727524.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 7, Pop 3, Plank, Inc, Clone2	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793765	WGS	SAMN14929161	UNIVERSITY OF PITTSBURGH	public	sra,run.zq,fastq	ncbi,s3,gs	gs.US,ncbi.public,s3.us-east-1	SRX8345760	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_968_1	SRP237703	128695307.0	271.0	276749784.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 7, Pop 3, Plank, Inc, Clone1	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793767	WGS	SAMN14929160	UNIVERSITY OF PITTSBURGH	public	sra,fastq,run.zq	s3,ncbi,gs	ncbi.public,s3.us-east-1,gs.US	SRX8345758	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_966_4	SRP237703	59202977.0	275.0	117147447.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 7, Pop 1, Plank, Inc, Clone4	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793768	WGS	SAMN14929159	UNIVERSITY OF PITTSBURGH	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX8345757	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_966_3	SRP237703	161719827.0	261.0	350327786.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 7, Pop 1, Plank, Inc, Clone3	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
SRR11793769	WGS	SAMN14929158	UNIVERSITY OF PITTSBURGH	public	sra,fastq,run.zq	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	SRX8345756	NextSeq 500	PAIRED	RANDOM	GENOMIC	Pseudomonas aeruginosa PA14	ILLUMINA	2020-05-14T00:00:00Z	MRS_966_2	SRP237703	141068533.0	271.0	306579124.0	PRJNA595915	2020-05-14T21:37:00Z	1.0	Day 7, Pop 1, Plank, Inc, Clone2	2018-03-18	USA	North America	laboratory culture	Microbe\, viral or environmental	USA: Pittsburgh\, PA	2018.0		2018-03-18	evironmental	SRA	paeruginosa
